"Total.Cup.Points","altitude_mean_meters_adj","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj","variety_adj_Bourbon","variety_adj_Caturra","variety_adj_Typica","Non_Tropical","mean_temp"
79.5,1050,0,0,0,0,"Caturra",0,1,0,0,9.831
74.67,1700,0,0,0,1,"Typica",0,0,1,1,9.6065
81.5,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.5,1850,0,0,0,1,"Caturra",0,1,0,0,9.831
59.83,431.999136,0,0,0,1,"Other",0,0,0,0,9.50733333333333
69.17,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
74,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82,1050,0,0,1,0,"Other",0,0,0,0,9.50733333333333
79.83,1250,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
82,800,0,0,0,1,"Other",0,0,0,0,9.6065
82.33,1580,0,1,0,0,"Other",0,0,0,1,9.831
87.08,2112,0,0,0,1,"Other",0,0,0,1,9.57066666666667
83.58,1600,0,0,0,0,"Caturra",0,1,0,0,9.57066666666667
82.42,1296,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.75,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
79.92,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.42,1200,0,0,0,1,"Other",0,0,0,0,9.831
79,1550,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
81.92,1100,0,0,0,0,"Other",0,0,0,0,9.50733333333333
82.08,1800,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.75,1625,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
81.17,1200,0,0,0,1,"Caturra",0,1,0,1,9.831
89,2000,0,0,0,0,"Other",0,0,0,0,9.57066666666667
81.5,600,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
84.17,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
80.67,1350,0,0,1,0,"Other",0,0,0,0,9.831
84.58,464.5152,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.5,2000,0,0,0,1,"Other",0,0,0,0,9.50733333333333
81.5,900,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
82.92,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
78.08,1050,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83,418.06368,0,0,0,1,"Other",0,0,0,0,9.831
83.92,1350,0,0,0,0,"Other",0,0,0,0,9.831
80.5,1250,0,0,1,0,"Other",0,0,0,0,9.6065
83.58,1550,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
84.67,1600,0,0,0,1,"Bourbon",1,0,0,0,9.831
87.17,1320,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.08,1456,0,0,0,1,"Other",0,0,0,0,9.57066666666667
75.83,1000,0,0,0,1,"Other",0,0,0,0,9.50733333333333
82.33,510.96672,0,0,0,1,"Bourbon",1,0,0,0,9.831
81.83,1500,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.17,1200,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
80.83,1200,0,0,0,1,"Caturra",0,1,0,0,9.6065
77.67,775,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.92,900,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
77.17,795,0,0,0,0,"Other",0,0,0,1,9.57066666666667
83,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.83,1260,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.5,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
80.92,688,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
83.58,1100,0,0,0,1,"Other",0,0,0,1,9.831
79.58,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.67,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.5,1170,0,0,0,0,"Bourbon",1,0,0,1,9.50733333333333
81.67,534.19248,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.58,1000,1,0,0,0,"Typica",0,0,1,1,9.57066666666667
83.5,1400,0,0,0,1,"Caturra",0,1,0,0,9.6065
79.75,1022,0,0,0,1,"Bourbon",1,0,0,1,9.6065
80.08,250,0,0,1,0,"Typica",0,0,1,1,9.57066666666667
80.17,750,0,0,0,0,"Other",0,0,0,0,9.6065
85.5,527.6892672,0,0,0,1,"Bourbon",1,0,0,0,9.6065
79,1350,0,0,0,1,"Other",0,0,0,0,9.57066666666667
79.33,750,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.92,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.5,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
81.83,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
80.67,1200,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
84.67,1775,0,0,0,1,"Other",0,0,0,0,9.50733333333333
83.5,1600,0,0,0,0,"Other",0,0,0,0,9.57066666666667
83.17,1000,0,0,0,0,"Other",0,0,0,0,9.50733333333333
81.92,1250,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
85.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
83.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
79.5,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.58,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
82.42,1250,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.25,900,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.92,1200,0,0,0,0,"Other",0,0,0,0,9.831
81,758,0,0,0,1,"Typica",0,0,1,1,9.831
81.75,774,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
81.33,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.67,1200,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
86.08,1250,0,0,1,0,"Bourbon",1,0,0,0,9.516
81.42,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
83.17,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.6065
78.92,1300,0,0,0,1,"Typica",0,0,1,1,9.6065
83.42,1813,0,0,0,1,"Caturra",0,1,0,0,9.831
75.17,1280,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.58,1400,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.25,680,0,0,0,0,"Typica",0,0,1,1,9.831
79.67,975,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
83.75,700,0,0,0,0,"Caturra",0,1,0,1,9.50733333333333
84.25,1775,0,0,0,1,"Caturra",0,1,0,0,9.831
80.92,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.92,1186,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.42,1150,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
81.75,1750,0,0,0,1,"Caturra",0,1,0,0,9.516
84.75,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.33,1100,0,0,0,0,"Other",0,0,0,0,9.50733333333333
83.17,1000,0,0,1,0,"Other",0,0,0,0,9.516
81.83,1775,0,0,0,1,"Caturra",0,1,0,0,9.6065
81.58,1400,0,0,0,1,"Typica",0,0,1,1,9.6065
81.42,1550,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
82.83,1775,0,0,0,1,"Caturra",0,1,0,0,9.6065
82.5,1250,0,0,1,0,"Bourbon",1,0,0,0,9.50733333333333
79.75,1050,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.17,1000,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
79.33,3000,0,0,0,0,"Other",0,0,0,1,9.50733333333333
84.17,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
81.58,1800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.58,1200,0,0,0,1,"Caturra",0,1,0,1,9.57066666666667
80.17,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
81.5,1000,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
83.08,750,0,0,0,0,"Typica",0,0,1,1,9.831
81.17,1300,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.83,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
86.42,1300,0,0,0,0,"Bourbon",1,0,0,0,9.516
79.67,800,0,0,0,1,"Other",0,0,0,0,9.6065
79.42,371.61216,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.5,1350,0,0,0,0,"Caturra",0,1,0,0,9.831
81.42,1750,0,0,0,0,"Caturra",0,1,0,0,9.516
85.42,1900,0,0,0,1,"Other",0,0,0,0,9.831
86.17,1300,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
81.5,1400,0,0,0,1,"Other",0,0,0,0,9.50733333333333
88.08,1905,0,0,0,0,"Other",0,0,0,0,9.57066666666667
82,1250,0,0,0,1,"Other",0,0,0,0,9.831
81.25,1500,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.17,1500,0,0,0,1,"Caturra",0,1,0,0,9.831
82.33,534.19248,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
86.58,1200,0,1,0,0,"Other",0,0,0,1,9.831
80.92,325.16064,1,0,0,0,"Other",0,0,0,0,9.831
79.58,1250,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
74.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
84.92,1000,0,0,0,0,"Other",0,0,0,0,9.516
81.67,1400,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
78.58,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.92,1300,0,0,0,1,"Bourbon",1,0,0,1,9.6065
76.17,3500,0,0,0,0,"Other",0,0,0,0,9.516
79.75,800,0,0,0,1,"Other",0,0,0,0,9.6065
83.33,1650,0,0,0,1,"Caturra",0,1,0,0,9.831
80.25,808,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
78,850,0,0,0,1,"Other",0,0,0,1,9.50733333333333
82.25,1100,0,0,0,0,"Bourbon",1,0,0,0,9.831
83.5,427.353984,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83.58,1800,0,0,0,1,"Other",0,0,0,0,9.6065
83,260.128512,0,0,0,1,"Other",0,0,0,0,9.6065
85.42,1250,0,0,1,0,"Bourbon",1,0,0,0,9.516
79.83,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
78.33,371.61216,0,0,0,1,"Other",0,0,0,0,9.57066666666667
85.5,1600,0,0,0,1,"Other",0,0,0,0,9.6065
85.33,1300,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
75.17,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.33,1200,0,0,0,1,"Other",0,0,0,0,9.6065
82.75,165,0,0,0,1,"Typica",0,0,1,0,9.57066666666667
82.58,1300,0,0,0,1,"Other",0,0,0,0,9.6065
81.5,1150,0,0,0,1,"Typica",0,0,1,1,9.6065
80.83,1210,0,0,1,0,"Other",0,0,0,1,9.50733333333333
82.42,1600,0,0,0,1,"Other",0,0,0,1,9.831
85.83,431.999136,0,0,0,1,"Other",0,0,0,0,9.50733333333333
80.5,3800,0,0,0,1,"Other",0,0,0,0,9.831
83.25,1000,0,0,0,1,"Bourbon",1,0,0,1,9.831
80.25,1400,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
84,371.61216,0,0,0,0,"Bourbon",1,0,0,0,9.57066666666667
83,750,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
84.08,1480,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.42,1050,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.67,1200,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
69.17,1450,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.75,905,0,1,0,0,"Other",0,0,0,0,9.831
87.58,2080,0,0,0,1,"Other",0,0,0,1,9.57066666666667
82.17,1100,0,0,0,1,"Other",0,0,0,1,9.6065
80.92,550,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
85.58,1350,0,0,1,0,"Bourbon",1,0,0,0,9.50733333333333
79.33,950,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.92,1900,0,0,0,1,"Caturra",0,1,0,0,9.6065
80.5,1450,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.58,1750,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
76.17,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.08,1800,0,0,0,0,"Other",0,0,0,0,9.50733333333333
83.83,1250,0,0,1,0,"Other",0,0,0,0,9.50733333333333
83.08,905,0,1,0,0,"Other",0,0,0,0,9.831
78.5,1200,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
82.08,1040,0,0,0,0,"Other",0,0,0,0,9.50733333333333
78.75,1320,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.5,371.61216,0,0,0,1,"Other",0,0,0,0,9.831
77.25,825,0,0,0,1,"Typica",0,0,1,0,9.6065
80.25,278.70912,0,0,0,0,"Other",0,0,0,0,9.831
84.42,1775,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.33,1000,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.5,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
80.17,1187.5,0,0,0,1,"Caturra",0,1,0,0,9.831
82.17,1350,0,0,0,1,"Other",0,0,0,0,9.831
85.33,1200,0,0,0,1,"Other",0,0,0,0,9.50733333333333
81.58,1600,0,0,0,0,"Other",0,0,0,1,9.50733333333333
83.25,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
71.75,1200,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
80.75,1350,0,0,0,1,"Other",0,0,0,0,9.831
88.25,1822.5,0,0,0,0,"Other",0,0,0,0,9.57066666666667
82,950,0,0,1,0,"Other",0,0,0,0,9.50733333333333
80.42,1550,0,0,0,1,"Caturra",0,1,0,1,9.50733333333333
82.58,800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.33,1750,0,0,0,1,"Caturra",0,1,0,0,9.6065
84.58,1800,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.67,1625,0,0,0,1,"Caturra",0,1,0,0,9.831
82.83,1900,0,0,0,1,"Bourbon",1,0,0,0,9.831
84.92,1775,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
82.42,1400,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
79.5,700,0,0,0,0,"Typica",0,0,1,1,9.57066666666667
82.67,950,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.25,1170,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.75,1200,0,0,0,0,"Typica",0,0,1,1,9.50733333333333
82.5,1650,0,0,1,0,"Typica",0,0,1,1,9.50733333333333
80.42,1450,0,0,0,1,"Bourbon",1,0,0,0,9.6065
83.83,1218,0,0,0,0,"Bourbon",1,0,0,1,9.50733333333333
82.25,650,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
81.17,1550,0,0,0,1,"Bourbon",1,0,0,0,9.57066666666667
83,1250,0,0,1,0,"Other",0,0,0,0,9.57066666666667
83.25,1261,0,0,0,0,"Typica",0,0,1,1,9.831
81.67,750,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.75,3825,0,0,0,1,"Other",0,0,0,0,9.831
82.42,1450,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.67,1000,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
82.67,1500,0,0,0,1,"Caturra",0,1,0,0,9.50733333333333
83.67,1200,0,0,0,0,"Caturra",0,1,0,1,9.831
83.08,1200,0,0,0,1,"Bourbon",1,0,0,0,9.831
83,1000,0,0,0,0,"Other",0,0,0,0,9.57066666666667
78,1350,0,0,0,0,"Other",0,0,0,0,9.57066666666667
81.67,1400,0,0,0,1,"Typica",0,0,1,1,9.6065
79.25,1000,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
79.42,800,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83,1200,0,0,0,1,"Other",0,0,0,0,9.6065
83.58,1850,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.75,1600,0,0,0,1,"Other",0,0,0,0,9.57066666666667
82.67,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
83.75,1550,0,0,0,1,"Other",0,0,0,0,9.57066666666667
81.83,1300,1,0,0,0,"Typica",0,0,1,0,9.57066666666667
83.75,1775,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
79.92,1100,0,0,0,1,"Other",0,0,0,1,9.50733333333333
85.75,1700,0,0,0,1,"Other",0,0,0,0,9.50733333333333
84.17,1038.5,0,0,0,0,"Other",0,0,0,0,9.50733333333333
83,1800,0,0,0,1,"Other",0,0,0,0,9.6065
85,1300,0,0,0,1,"Typica",0,0,1,1,9.831
80.75,1000,0,0,0,1,"Typica",0,0,1,0,9.50733333333333
82.08,1250,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.5,1260,0,0,1,0,"Other",0,0,0,0,9.57066666666667
84.25,335.10126528,0,0,0,1,"Caturra",0,1,0,0,9.831
84,1480,0,0,0,1,"Other",0,0,0,0,9.57066666666667
84.92,800,0,0,1,0,"Typica",0,0,1,1,9.831
82.17,1700,0,0,0,1,"Other",0,0,0,0,9.57066666666667
78.5,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.17,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
83,1200,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
78.58,1400,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.67,800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
78.58,800,0,0,0,1,"Typica",0,0,1,1,9.6065
84.58,1550,0,0,0,1,"Caturra",0,1,0,0,9.6065
79.25,850,0,0,0,1,"Typica",0,0,1,1,9.57066666666667
80.83,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
83.17,1500,0,0,0,1,"Bourbon",1,0,0,0,9.831
81.08,1200,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.17,800,0,0,0,1,"Other",0,0,0,0,9.57066666666667
80.33,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.6065
84.67,1750,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
78.75,1350,0,0,0,1,"Bourbon",1,0,0,1,9.50733333333333
82.83,399.483072,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
82,2500,0,0,0,1,"Other",0,0,0,0,9.57066666666667
83.92,1775,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.75,1250,0,0,0,1,"Other",0,0,0,1,9.50733333333333
79.75,1100,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
81.67,940,0,0,1,0,"Caturra",0,1,0,1,9.50733333333333
85.92,1800,0,0,0,1,"Caturra",0,1,0,0,9.6065
85,1,0,0,0,1,"Other",0,0,0,0,9.831
84.5,1100,0,0,0,1,"Other",0,0,0,1,9.6065
82.92,1650,0,0,0,1,"Other",0,0,0,0,9.6065
83.75,260.128512,0,0,0,1,"Other",0,0,0,0,9.6065
81.67,1650,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
82.25,1250,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
85,1100,0,0,0,0,"Other",0,0,0,0,9.50733333333333
83,1550,0,0,0,1,"Other",0,0,0,0,9.831
77.5,1300,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
80.67,995,0,0,0,1,"Caturra",0,1,0,0,9.57066666666667
81.83,1400,0,0,0,1,"Other",0,0,0,0,9.831
84.42,900,0,0,0,1,"Other",0,0,0,1,9.50733333333333
81.5,125,0,0,1,0,"Bourbon",1,0,0,0,9.50733333333333
80.33,600,1,0,0,0,"Other",0,0,0,1,9.57066666666667
82.17,800,0,0,0,1,"Typica",0,0,1,1,9.50733333333333
84.67,464.5152,0,0,0,1,"Bourbon",1,0,0,0,9.50733333333333
