"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Quakers","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","mean_temp"
72.92,1200,2,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.67,1550,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
85,1580,5,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.42,1170,0,0,0,0,0,1,1,0,0,0,0,1,9.6065
81,371.61216,1,0,0,0,0,1,1,0,0,0,0,0,9.831
83.5,1650,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
79.67,1400,6,0,0,0,0,1,0,0,0,1,0,1,9.6065
82.83,1200,9,0,1,0,0,0,0,0,0,0,0,1,9.57066666666667
84.25,1400,1,0,0,0,0,0,0,0,0,0,0,1,9.831
85.5,527.6892672,1,0,0,0,0,1,1,0,0,0,0,0,9.6065
77.83,399.483072,2,0,0,0,0,1,1,0,0,0,0,0,9.6065
79.75,1300,5,0,0,0,0,1,1,0,0,0,0,1,9.6065
80.67,995,1,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
84.75,1800,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.17,1200,4,0,0,0,0,0,0,0,0,1,0,0,9.57066666666667
83,1000,2,0,0,0,0,0,0,0,1,0,0,0,9.6065
84.58,371.61216,0,0,0,0,0,1,1,0,0,0,0,0,9.57066666666667
81.83,3280,8,0,0,0,0,1,1,0,0,0,0,0,9.831
79,1550,20,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
82.33,1580,2,6,0,1,0,0,0,0,0,0,0,1,9.831
84.92,800,0,0,0,0,1,0,0,0,0,1,0,1,9.831
80.08,850,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
84.5,1100,2,0,0,0,0,1,0,0,0,0,0,1,9.6065
75.17,1200,20,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
79.75,1450,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
71,1800,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.33,1300,3,0,0,0,0,1,0,0,0,1,0,1,9.6065
81.58,1100,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.25,1100,4,0,0,0,0,1,0,1,0,0,0,0,9.831
81.33,1800,17,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,1450,5,0,0,0,0,0,0,1,0,0,0,0,9.6065
82.25,423.91657152,2,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.08,1650,21,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
74.67,1700,7,0,0,0,0,1,0,0,0,1,0,1,9.6065
81.5,371.61216,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
85.08,1700,9,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
80.92,1050,4,0,0,0,0,1,0,0,1,0,0,0,9.6065
82,1038.5,0,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
78.75,399.483072,9,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.92,1750,0,0,0,0,0,0,0,0,1,0,0,0,9.6065
84.92,1200,2,0,0,0,0,0,1,0,0,0,0,0,9.516
81.83,1350,4,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
76.17,1400,6,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
67.92,350,24,0,0,0,0,0,0,0,0,1,0,0,9.50733333333333
84,1260,0,0,0,0,0,0,0,0,0,0,1,0,9.57066666666667
75.5,1100,24,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.67,1800,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
79.08,1500,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
87.25,1850,8,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
84.17,1750,2,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.42,1100,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.08,1642,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.5,1400,14,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
78.58,1300,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.17,800,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.42,1100,0,0,0,0,0,0,1,0,0,0,0,0,9.831
81.33,1200,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.25,808,10,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
84.33,442,6,0,0,0,0,0,0,0,1,0,0,0,9.831
81.08,1100,1,0,0,0,0,1,0,0,0,0,0,0,9.831
84.17,250.5,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
84,1550,44,0,0,0,0,0,0,0,0,0,0,0,9.6065
84.17,1530,4,0,0,0,0,1,0,0,0,0,0,0,9.831
80.42,1550,20,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
83.17,250.5,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.5,1100,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.25,1000,0,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
82.42,1400,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.08,250,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
81.08,1300,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
86.92,1250,2,0,0,0,0,0,1,0,0,0,0,0,9.516
81.58,1650,2,0,0,0,0,0,0,0,0,1,0,1,9.50733333333333
83,1550,3,0,0,0,0,1,0,1,0,0,0,0,9.831
83,1750,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
83.33,1880,5,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
80.75,1450,1,0,0,0,0,0,0,1,0,0,0,0,9.831
79.92,1100,8,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.75,905,1,2,0,1,0,0,0,0,0,0,1,0,9.831
82.58,1450,1,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
78.92,1300,8,0,0,0,0,1,0,0,0,1,0,1,9.6065
83.75,1400,0,0,0,0,0,0,1,0,0,0,0,0,9.6065
86.42,1300,2,0,0,0,0,0,1,0,0,0,0,0,9.516
81.67,1400,6,0,0,0,0,1,0,0,0,1,0,1,9.6065
82.58,1750,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
83.67,1750,3,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.92,550,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.67,1300,0,0,0,0,0,1,0,0,0,0,0,0,9.831
83.17,1600,3,0,0,0,0,1,0,0,0,0,0,1,9.831
84.17,1850,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.33,1850,9,1,0,0,0,1,0,0,1,0,0,0,9.831
75.17,1280,52,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.83,399.483072,1,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.92,1248,4,0,0,0,0,0,0,0,0,1,0,1,9.50733333333333
84.25,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.831
81,1700,3,0,0,0,0,0,0,0,0,0,0,0,9.6065
82.67,1240,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
81.92,690,10,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
71.08,800,28,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
83.42,1200,0,0,0,0,0,1,0,0,0,0,0,0,9.831
81,1525,5,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.92,1500,2,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
82.67,1500,0,0,0,0,0,1,0,0,1,0,0,0,9.6065
83,1000,0,0,0,0,0,0,0,1,0,0,0,0,9.57066666666667
81.42,399.483072,4,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.5,1250,4,0,0,0,1,0,1,0,0,0,0,0,9.50733333333333
83.42,442,4,0,0,0,0,0,0,0,1,0,0,0,9.831
84.67,1600,1,0,0,0,0,1,1,0,0,0,0,0,9.831
84.5,1680,1,0,0,0,0,1,0,0,0,0,0,1,9.831
83.17,1650,3,0,0,0,0,1,1,0,0,0,0,0,9.831
83.25,1000,0,0,0,0,0,1,1,0,0,0,0,1,9.831
80.92,1200,8,0,0,0,0,0,0,0,0,0,1,0,9.831
79.5,700,1,0,0,0,0,0,0,0,0,1,0,1,9.57066666666667
79.08,1200,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.42,1500,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.42,1422,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.25,1450,1,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
79.75,1100,7,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
77.67,775,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.17,1600,1,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
84.67,1200,4,0,0,0,0,1,0,1,0,0,0,0,9.57066666666667
84,1700,36,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
71.75,1200,7,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.83,1400,1,0,0,0,0,1,0,1,0,0,0,0,9.831
87.08,2112,0,0,0,0,0,1,0,0,0,0,0,1,9.57066666666667
82.5,399.483072,4,0,0,0,0,1,1,0,0,0,0,0,9.6065
79,12,45,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81,800,3,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
79,1300,12,0,0,0,0,0,0,0,0,0,0,1,9.50733333333333
89,2000,2,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
77.92,1200,6,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.25,1250,13,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.92,1800,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.17,1100,0,0,0,0,0,1,0,0,0,0,0,1,9.6065
81.5,1150,2,0,0,0,0,1,0,0,0,1,0,1,9.6065
81.83,1100,0,0,0,0,0,0,1,0,0,0,0,0,9.831
81.5,1200,2,0,0,0,1,0,0,0,0,0,1,0,9.57066666666667
84.25,335.10126528,1,0,0,0,0,1,0,0,1,0,0,0,9.831
79.92,1100,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.42,1300,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.25,1400,1,0,0,0,0,1,0,1,0,0,0,0,9.831
82.33,1450,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.33,510.96672,6,0,0,0,0,1,1,0,0,0,0,0,9.831
80.75,1300,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
78.75,1320,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
86,1650,0,0,0,0,0,1,0,0,0,0,0,0,9.50733333333333
82.42,1560,5,0,0,0,0,1,0,0,0,1,0,1,9.6065
80.92,1186,12,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82,1400,5,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
83.5,1750,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
83.83,1676.5,4,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
75,850,22,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.5,1600,1,0,0,0,0,1,0,0,0,0,0,0,9.6065
82.83,399.483072,10,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
85.17,1325,3,0,0,0,1,0,0,0,0,0,0,0,9.50733333333333
83.67,464.5152,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
84.83,1650,1,0,0,0,0,0,0,0,0,0,0,0,9.6065
82.25,1775,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
78,399.483072,12,0,0,0,0,1,1,0,0,0,0,0,9.6065
81.5,825,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
84.67,399.483072,4,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.33,1350,4,0,0,0,0,1,0,1,0,0,0,0,9.831
82.5,399.483072,0,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.33,1300,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.5,1599,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84,1700,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.58,1300,3,0,0,0,0,1,0,1,0,0,0,0,9.6065
83.75,1750,3,0,0,0,0,1,0,0,1,0,0,0,9.6065
83.33,1650,1,0,0,0,0,1,0,0,1,0,0,0,9.831
83.17,1000,3,0,0,0,1,0,0,0,0,0,0,0,9.516
82.17,1200,1,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
69.17,1450,3,0,0,0,0,1,0,1,0,0,0,0,9.57066666666667
83.83,525,1,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
79.58,1550,5,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
83.83,1300,4,0,0,0,0,0,0,0,0,0,0,1,9.50733333333333
84.5,1500,4,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85.83,1900,4,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
85.33,1300,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.33,464.5152,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
81.25,464.5152,4,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.83,1100,3,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,1550,0,0,1,0,0,0,0,0,1,0,0,0,9.57066666666667
81.67,150,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
79.08,260.128512,0,0,0,0,0,1,0,0,0,0,0,0,9.6065
82.83,1380,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83.17,800,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.17,1750,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
81.58,850,0,0,0,0,1,0,0,0,0,1,0,1,9.57066666666667
82.42,1750,2,0,0,0,0,1,0,0,1,0,0,0,9.516
84.58,1750,2,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
86.58,1200,0,0,0,1,0,0,0,0,0,0,0,1,9.831
84.17,399.483072,4,0,0,0,0,1,1,0,0,0,0,0,9.6065
79.25,1000,10,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.25,1261,2,0,0,0,0,0,0,0,0,1,0,1,9.831
84.58,1800,2,0,0,0,0,1,0,0,0,0,0,0,9.6065
81.25,680,0,0,0,0,0,0,0,0,0,1,0,1,9.831
83.25,175,1,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.42,1400,1,0,0,0,0,1,0,1,0,0,0,0,9.831
84.58,1575,2,0,0,0,1,0,1,0,0,0,0,0,9.50733333333333
75.58,399.483072,15,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
82.75,1775,3,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.17,1300,0,0,0,0,0,1,0,0,1,0,0,0,9.831
80.42,1450,1,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.25,1180,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.42,1250,4,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.17,800,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.08,1800,15,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
85.33,1300,2,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
81.17,1000,1,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
82.33,1550,0,2,0,0,0,1,0,1,0,0,0,0,9.831
80,1100,12,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.17,1350,2,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
86.25,1800,1,0,0,0,0,1,0,0,0,0,0,0,9.6065
84.92,1200,0,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
86,1200,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.92,1040,17,0,0,0,0,0,0,0,0,0,0,0,9.50733333333333
83,1625,4,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
85.33,1770,1,0,0,0,0,0,0,0,0,0,0,0,9.57066666666667
82.25,1100,0,0,0,0,0,0,1,0,0,0,0,0,9.831
80.67,1550,1,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
81.83,1300,0,0,0,0,0,1,0,0,1,0,0,0,9.831
78.33,1300,78,0,0,0,0,0,0,0,0,1,0,1,9.50733333333333
81.67,1400,5,0,0,0,0,0,0,0,1,0,0,0,9.57066666666667
78,1200,28,0,0,0,0,1,0,0,0,1,0,1,9.6065
83.58,1100,2,0,0,0,1,0,0,1,0,0,0,0,9.50733333333333
79.67,399.483072,6,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.5,1260,0,0,0,0,1,0,0,0,0,0,1,0,9.57066666666667
83.5,1775,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
81.92,1000,0,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
82.92,775,9,0,0,0,0,0,0,0,0,1,0,1,9.57066666666667
83.5,427.353984,15,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
81.08,520.257024,0,0,0,0,0,0,0,0,0,0,0,1,9.57066666666667
78,850,9,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82,1650,20,0,0,0,0,1,0,0,0,0,0,0,9.831
82,1350,3,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
84.5,1700,0,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.08,1250,11,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.92,1550,7,0,0,0,0,1,0,1,0,0,0,0,9.831
80.75,1000,0,0,0,0,0,1,0,0,0,1,0,0,9.50733333333333
85.33,1700,0,0,0,0,0,0,0,0,0,0,0,1,9.831
80.17,1250,2,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
82.33,1750,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
79.33,1200,3,0,0,0,0,1,0,0,1,0,0,0,9.6065
83,750,20,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
79,1350,12,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.58,1400,1,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
83,1473,6,0,0,0,0,1,1,0,0,0,0,0,9.831
82,1050,1,0,0,0,1,0,0,1,0,0,0,0,9.50733333333333
83.92,1200,3,0,0,0,0,1,0,0,0,1,0,1,9.831
83.67,399.483072,4,0,0,0,0,1,1,0,0,0,0,0,9.6065
82.33,1300,2,0,0,0,0,1,0,0,1,0,0,0,9.6065
81.92,981,9,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
81.58,1600,0,0,0,0,0,0,0,0,0,0,0,1,9.50733333333333
83.67,1200,0,0,0,0,0,0,0,0,1,0,0,1,9.831
81.25,1700,5,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
90.58,2075,0,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
80.75,3825,2,0,0,0,0,1,0,1,0,0,0,0,9.831
78.33,371.61216,2,0,0,0,0,1,0,0,0,0,0,0,9.57066666666667
82.25,1170,3,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
85.58,1350,0,0,0,0,1,0,1,0,0,0,0,0,9.50733333333333
81.67,1650,14,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
84.08,1480,11,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
85,1,7,5,0,0,0,1,0,0,0,0,0,0,9.831
83.5,1170,14,0,0,0,0,0,1,0,0,0,0,1,9.50733333333333
84.42,1200,0,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.5,1200,3,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.42,1400,2,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
82.5,1650,2,0,0,0,1,0,0,0,0,1,0,1,9.50733333333333
83.58,1800,5,0,0,0,0,1,0,0,0,0,0,0,9.6065
59.83,431.999136,4,0,0,0,0,1,0,1,0,0,0,0,9.50733333333333
83.42,399.483072,0,0,0,0,0,1,1,0,0,0,0,0,9.6065
83.33,1200,2,0,0,0,0,1,0,0,1,0,0,1,9.57066666666667
82.67,1296,0,0,0,0,0,0,0,0,0,1,0,1,9.57066666666667
79.17,1550,6,0,0,0,0,1,0,1,0,0,0,0,9.831
80.83,1200,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
82.83,1550,12,0,0,0,0,1,0,0,1,0,0,1,9.50733333333333
79.25,850,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.08,1300,7,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
81.5,1250,5,0,0,0,0,1,1,0,0,0,0,1,9.50733333333333
83.75,1750,1,0,0,0,0,1,0,0,1,0,0,0,9.6065
80.67,1350,1,0,0,0,1,0,0,0,0,0,0,0,9.831
80.92,300,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
82.17,1350,2,0,0,0,0,1,0,1,0,0,0,0,9.831
77,1200,16,0,0,0,0,1,0,0,1,0,0,0,9.57066666666667
82.67,1500,0,0,0,0,0,1,0,0,1,0,0,0,9.50733333333333
83,1775,0,0,0,0,0,1,0,0,1,0,0,0,9.516
81.92,1650,4,0,0,0,0,1,0,0,0,0,0,1,9.50733333333333
82.92,1400,5,0,0,0,0,1,0,0,0,1,0,1,9.50733333333333
83,1200,0,0,0,0,0,1,0,0,0,1,0,1,9.57066666666667
83.17,427.353984,10,0,0,0,0,1,1,0,0,0,0,0,9.50733333333333
