"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical","dist_equator"
78.08,1050,3,0,0,0,1,0,0,0,1,0,1,23.634501
80.92,688,0,1,0,0,0,0,0,0,1,0,1,23.69781
81.75,1700,1,0,0,0,1,1,0,0,0,0,0,15.783471
82.42,1450,0,0,0,0,1,0,0,0,1,0,1,23.634501
82.25,1100,0,0,0,0,1,0,0,0,1,0,1,23.634501
82.08,1250,11,0,0,0,1,0,0,0,1,0,1,23.634501
81.17,995,12,0,0,0,1,0,0,1,0,0,0,13.254308
82.42,1300,9,0,0,0,1,0,0,0,1,0,1,23.634501
81.67,1400,6,0,0,0,1,0,0,0,1,0,1,23.634501
82.17,1500,2,0,0,0,1,0,0,1,0,0,0,15.199999
81.58,1260,3,0,0,0,1,0,0,0,0,1,0,14.235004
82.33,1300,3,0,0,0,1,0,0,0,1,0,1,23.634501
84.17,1038.5,3,0,0,0,0,0,0,0,0,0,0,14.235004
78.33,371.61216,2,0,0,0,1,0,0,0,0,0,0,15.783471
82.42,1250,4,0,0,0,1,1,0,0,0,0,1,23.634501
82.92,1650,0,0,0,0,1,0,0,0,0,0,0,1.373333
85.08,2560,0,0,0,0,0,0,0,1,0,0,0,4.570868
82.17,1100,0,0,0,0,1,0,0,0,0,0,1,23.634501
83.92,1775,1,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,1550,6,0,0,0,1,0,0,0,1,0,1,23.634501
81.08,260.128512,0,0,0,0,1,0,0,0,0,0,0,NA
79.67,399.483072,6,0,0,0,1,1,0,0,0,0,0,15.783471
84.17,1600,1,0,0,0,1,0,0,0,0,0,0,1.373333
79.75,1300,5,0,0,0,1,1,0,0,0,0,1,23.634501
82,427.353984,10,0,0,0,1,1,0,0,0,0,0,15.783471
85.08,1700,9,0,0,0,0,0,0,0,0,0,0,9.145
83,1473,6,0,0,0,1,1,0,0,0,0,0,1.373333
82.42,1000,1,0,0,1,0,0,1,0,0,0,0,14.235004
74.33,1140,14,0,0,0,1,0,0,0,1,0,1,23.634501
78.75,1320,0,0,0,0,1,0,0,0,1,0,1,23.634501
82.58,1300,3,0,0,0,1,0,1,0,0,0,0,9.748917
81.5,371.61216,4,0,0,0,1,0,1,0,0,0,0,NA
81.17,1200,7,0,0,0,1,0,0,0,0,0,0,12.865416
83.5,1400,0,0,0,0,1,0,0,1,0,0,0,15.783471
84.67,464.5152,4,0,0,0,1,1,0,0,0,0,0,15.783471
83.5,1170,14,0,0,0,0,1,0,0,0,0,1,23.634501
79.5,700,1,0,0,0,0,0,0,0,1,0,1,23.69781
81.25,1400,1,0,0,0,1,0,1,0,0,0,0,15.199999
83.67,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
82.92,1059,3,0,0,0,0,0,0,0,1,0,1,23.634501
81.33,1200,1,0,0,0,1,0,0,0,0,0,0,13.254308
83.33,1700,6,0,0,1,0,0,0,0,0,0,0,NA
86.42,1300,2,0,0,0,0,1,0,0,0,0,0,14.235004
80.42,1550,20,0,0,0,1,0,0,1,0,0,1,23.634501
83.5,1400,0,0,0,0,1,0,0,0,0,0,1,23.634501
75.58,399.483072,15,0,0,0,1,1,0,0,0,0,0,15.783471
67.92,350,24,0,0,0,0,0,0,0,1,0,0,18.971187
83.25,1600,0,0,0,0,1,0,0,0,1,0,1,23.634501
84.25,1170,0,0,0,0,1,1,0,0,0,0,1,23.634501
80.75,520.257024,1,0,0,0,1,0,0,1,0,0,0,15.783471
82.75,905,1,0,1,0,0,0,0,0,0,1,0,14.235004
82.5,1600,1,0,0,0,1,0,0,0,0,0,0,NA
83,1625,4,0,0,0,1,0,0,1,0,0,0,4.570868
85.5,1900,3,0,0,0,0,0,0,0,0,0,0,0.023559
81.42,1422,0,0,0,0,1,0,0,0,0,0,0,13.254308
83.83,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
81.5,1150,2,0,0,0,1,0,0,0,1,0,1,23.634501
81.83,1350,4,0,0,0,0,0,0,1,0,0,0,15.199999
83.17,950,4,0,0,0,0,0,0,0,0,0,0,14.235004
85.17,1400,7,0,0,0,1,0,0,1,0,0,0,15.783471
84.92,800,0,0,0,1,0,0,0,0,1,0,1,23.69781
81.42,1550,6,0,0,0,1,1,0,0,0,0,0,15.783471
82.83,1500,4,0,0,0,1,1,0,0,0,0,0,15.783471
84.58,1800,6,0,0,0,1,0,0,1,0,0,0,4.570868
83.58,1775,3,0,0,0,1,0,0,1,0,0,0,4.570868
79,371.61216,3,0,0,0,1,0,0,0,0,0,0,15.783471
85.42,1950,5,0,0,0,1,0,0,0,0,0,0,1.373333
79.08,1200,0,0,0,0,1,0,0,0,1,0,1,23.634501
77.33,371.61216,3,0,0,0,1,0,0,0,0,0,0,15.783471
85.33,1700,0,0,0,0,0,0,0,0,0,0,1,35.86166
80.5,371.61216,3,0,0,0,1,0,0,0,0,0,0,15.783471
83.5,1775,4,0,0,0,1,0,0,1,0,0,0,4.570868
81.5,371.61216,0,0,0,0,1,0,0,0,0,0,0,15.783471
82.92,1500,1,0,0,0,1,1,0,0,0,0,0,15.783471
88.83,2075,2,0,0,0,1,0,0,0,0,0,0,9.145
80.25,900,2,0,0,0,1,0,0,1,0,0,0,12.865416
82.08,1600,3,0,0,0,1,0,0,0,0,0,0,NA
83.17,1380,5,0,0,0,1,0,0,0,1,0,1,23.634501
80,250,0,0,0,0,1,0,0,0,1,0,1,23.69781
83.67,1625,4,0,0,0,1,0,0,1,0,0,0,4.570868
83.25,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
82,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
82.17,1400,2,0,0,0,1,0,0,0,0,0,1,23.634501
82.17,1650,7,0,0,0,1,1,0,0,0,0,0,NA
82.08,1040,2,0,0,0,0,0,0,0,0,0,0,14.058324
84.17,1150,16,0,0,0,0,0,1,0,0,0,0,14.235004
77.17,1200,12,0,0,0,1,0,0,0,0,0,1,23.634501
83.25,1500,1,0,0,0,1,0,0,1,0,0,0,15.783471
83.83,371.61216,1,0,0,0,1,1,0,0,0,0,0,15.783471
71.08,800,28,0,0,0,1,0,0,0,0,0,1,23.634501
80.92,464.5152,7,0,0,0,1,0,0,0,0,0,0,15.783471
84.17,399.483072,4,0,0,0,1,1,0,0,0,0,0,15.783471
83.17,1450,5,0,0,0,0,0,1,0,0,0,0,15.199999
79.83,1500,5,0,0,0,1,0,0,0,0,0,0,0.023559
84.58,1575,2,0,0,1,0,1,0,0,0,0,0,9.748917
79.92,1300,4,0,0,0,1,1,0,0,0,0,1,23.634501
83,1500,2,0,0,0,1,1,0,0,0,0,0,15.783471
82,1350,3,0,0,0,1,0,0,0,0,0,0,NA
82.92,1500,1,0,0,0,1,0,0,1,0,0,0,4.570868
80.42,600,0,0,0,0,1,0,0,0,1,0,1,23.69781
81.92,1100,3,0,0,0,0,0,0,0,0,0,0,14.235004
80.08,200,0,1,0,0,0,0,0,0,1,0,1,23.69781
83.83,1500,6,0,0,0,1,1,0,0,0,0,0,15.783471
87.92,1943,0,0,0,0,1,0,0,0,0,0,1,37.09024
83.33,1650,1,0,0,0,1,0,0,1,0,0,0,4.570868
83.67,1100,15,0,0,0,1,0,0,0,1,0,1,23.634501
83.17,890,4,0,0,0,0,1,0,0,0,0,0,14.235004
84.17,1775,0,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,1500,2,0,0,0,1,0,0,0,0,0,1,35.86166
83.08,1,3,0,0,0,0,0,0,0,0,1,0,14.235004
85.5,1680,4,0,0,0,0,0,0,1,0,0,0,8.537981
78.58,371.61216,3,0,0,0,1,0,0,0,0,0,0,15.783471
82.42,1500,6,0,0,0,1,0,0,0,0,0,0,15.199999
85.92,1650,0,0,0,0,0,0,0,0,0,0,0,1.373333
84.25,1775,6,0,0,0,1,0,0,1,0,0,0,4.570868
84.17,340.39673856,6,0,0,0,1,0,0,1,0,0,0,15.783471
80.42,1700,14,0,0,0,1,0,0,0,0,0,1,35.86166
82.67,934,3,0,0,0,0,1,0,0,0,0,0,14.235004
85.83,1600,0,0,0,0,1,0,0,0,0,0,0,8.537981
81.75,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
81.58,850,0,0,0,1,0,0,0,0,1,0,1,23.69781
79.25,1000,10,0,0,0,1,1,0,0,0,0,1,23.634501
82.92,1600,0,0,0,0,1,0,0,0,0,0,0,12.879721
82.58,371.61216,2,0,0,0,1,1,0,0,0,0,0,15.783471
83.17,399.483072,2,0,0,0,1,1,0,0,0,0,0,15.783471
82.5,1775,4,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,464.5152,2,0,0,0,1,0,0,0,0,0,0,15.783471
82.75,1250,4,0,0,0,1,1,0,0,0,0,0,13.794185
80.75,1200,2,0,0,0,1,0,0,0,1,0,1,23.634501
83.5,940,12,0,0,1,0,0,0,0,1,0,1,23.634501
83.17,1800,0,0,0,0,1,0,0,0,0,0,0,1.373333
82.58,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
80.92,200,0,0,0,0,1,0,0,0,0,0,1,23.69781
80.92,1700,0,0,0,0,1,0,0,0,0,0,0,NA
82.67,1300,0,0,0,0,1,0,0,0,0,0,0,19.85627
79.17,1550,8,0,0,0,1,0,0,0,1,0,1,23.634501
82.33,200,0,0,0,1,0,0,0,0,1,0,1,23.69781
82.33,1850,9,0,0,0,1,0,0,1,0,0,0,9.748917
82.25,900,3,0,0,0,1,0,0,0,1,0,1,23.634501
82.5,1450,0,0,0,0,1,0,0,1,0,0,0,15.870032
80,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
82.33,464.5152,3,0,0,0,1,0,0,0,0,0,0,15.783471
81.42,1100,2,0,0,0,0,0,1,0,0,0,0,14.235004
77.33,890,3,0,0,0,0,1,0,0,0,0,0,14.235004
83,1200,7,0,0,1,0,0,0,0,1,0,1,23.634501
82.33,1396,8,0,0,0,1,0,0,1,0,0,0,15.199999
83.92,1550,3,0,0,0,0,0,0,1,0,0,0,4.570868
83.5,464.5152,5,0,0,0,1,0,0,1,0,0,0,15.783471
83.83,1250,3,0,0,1,0,0,0,0,0,1,0,14.235004
81.17,1050,2,0,0,0,1,1,0,0,0,0,0,NA
81.25,650,0,0,0,1,0,0,0,0,1,0,1,23.69781
83.58,1600,0,0,0,0,0,0,0,1,0,0,0,4.570868
83,1750,0,0,0,0,1,0,0,1,0,0,0,4.570868
86,1860,1,0,0,0,1,0,0,0,0,0,0,0.023559
84.67,1900,3,0,0,0,1,0,0,0,0,0,0,9.145
87.17,1320,0,0,0,0,1,0,0,0,0,0,1,23.634501
81.33,1450,3,0,0,0,1,0,1,0,0,0,0,15.199999
81.92,1000,0,0,0,0,1,1,0,0,0,0,1,23.634501
81.08,1300,2,0,0,0,1,0,0,0,1,0,1,23.634501
80.17,1250,2,0,0,0,1,0,0,0,1,0,1,23.634501
85,1800,1,0,0,0,1,0,0,0,0,0,0,1.373333
85.83,1900,4,0,0,0,1,0,0,0,0,0,0,9.145
80.17,1550,2,1,0,0,0,0,0,0,0,0,0,14.058324
87.25,1850,8,0,0,0,0,0,0,0,0,0,0,9.145
84,1700,36,0,0,0,1,0,0,0,0,0,0,1.373333
82.83,1400,5,0,0,0,1,0,0,0,0,0,0,NA
83.25,442,2,0,0,0,0,0,0,1,0,0,0,4.570868
82.67,1296,0,0,0,0,0,0,0,0,1,0,1,23.634501
83,894,5,0,0,0,0,1,0,0,0,0,0,14.235004
84.92,1775,3,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,1775,3,0,0,0,1,0,0,1,0,0,0,4.570868
82.5,399.483072,4,0,0,0,1,1,0,0,0,0,0,15.783471
82.25,1250,13,0,0,0,1,0,0,0,1,0,1,23.634501
79.67,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
83.17,1200,0,0,0,0,1,0,0,0,0,0,1,35.86166
82.92,1350,1,0,0,0,1,1,0,0,0,0,0,13.794185
82.67,1100,2,0,0,0,1,0,0,0,0,0,1,23.634501
81.5,1100,10,0,0,0,1,0,1,0,0,0,1,23.634501
84.25,1400,4,0,0,0,1,1,0,0,0,0,1,23.634501
78.5,1600,0,0,0,0,1,1,0,0,0,0,1,23.634501
82.83,1900,0,0,0,0,1,1,0,0,0,0,0,1.940278
83,418.06368,2,0,0,0,1,1,0,0,0,0,0,15.783471
86.25,1800,1,0,0,0,1,0,0,0,0,0,0,0.023559
81.5,1200,3,0,0,0,1,0,0,1,0,0,0,9.748917
82.83,1550,12,0,0,0,1,0,0,1,0,0,1,23.634501
81.58,1600,0,0,0,0,0,0,0,0,0,0,1,23.634501
83.92,1350,1,0,0,0,0,0,0,0,0,0,0,15.870032
80.75,1680,5,1,0,0,0,0,0,1,0,0,0,8.537981
82,1250,0,0,0,0,1,0,0,0,0,0,0,19.85627
70.75,1000,1,0,0,0,1,0,0,0,1,0,1,23.634501
81.83,1250,10,0,0,1,0,0,0,0,1,0,1,23.634501
81.83,1250,0,0,0,1,0,1,0,0,0,0,0,14.235004
85.33,1770,1,0,0,0,0,0,0,0,0,0,0,15.783471
81.25,680,0,0,0,0,0,0,0,0,1,0,1,23.69781
83.67,890,2,0,0,0,0,1,0,0,0,0,0,14.235004
84.67,1550,0,0,0,0,1,0,0,1,0,0,0,4.570868
81.08,1642,5,0,0,0,1,0,0,0,1,0,1,23.634501
83.58,2136,4,0,0,0,0,0,0,1,0,0,0,4.570868
77.5,1300,3,0,0,0,1,0,0,0,1,0,1,23.634501
83.92,1300,5,0,0,0,1,0,0,0,0,0,1,23.634501
84.25,1450,1,0,0,1,0,0,0,0,1,0,1,23.634501
83.92,950,0,0,0,0,1,0,0,0,1,0,1,23.69781
82.92,1300,10,0,0,0,1,1,0,0,0,0,1,23.634501
83.17,1653,6,0,0,0,1,0,0,0,0,0,0,NA
81.25,1100,4,0,0,0,1,0,1,0,0,0,0,12.865416
82.75,1800,8,0,0,0,1,0,0,1,0,0,0,15.783471
82,940,1,0,0,0,1,0,0,0,1,0,1,23.634501
83.67,1700,0,0,0,0,1,0,0,0,0,0,0,0.023559
85.42,1250,1,0,0,1,0,1,0,0,0,0,0,14.235004
79.42,800,30,0,0,0,1,0,0,0,1,0,1,23.634501
79.33,950,23,0,0,0,1,0,0,0,1,0,1,23.634501
78.33,399.483072,5,0,0,0,1,1,0,0,0,0,0,15.783471
82.58,1750,3,0,0,0,1,0,0,1,0,0,0,4.570868
83.75,442,1,0,0,0,1,0,0,1,0,0,0,4.570868
83.17,1600,3,0,0,0,1,0,0,0,0,0,1,35.86166
81.33,1350,4,0,0,0,1,0,1,0,0,0,0,15.199999
78.75,1350,0,0,0,0,1,1,0,0,0,0,1,23.634501
82.67,1800,3,0,0,0,1,0,0,1,0,0,0,4.570868
83.42,1600,4,0,0,0,1,1,0,0,0,0,0,NA
83.33,1650,0,0,0,0,1,0,0,1,0,0,0,4.570868
83.17,532,11,0,0,0,1,0,0,0,1,0,1,23.634501
86,1650,0,0,0,0,1,0,0,0,0,0,0,1.373333
83.75,1750,3,0,0,0,1,0,0,1,0,0,0,4.570868
85.33,1600,2,0,0,0,1,0,0,0,0,0,0,0.023559
82.83,900,8,0,0,0,0,0,1,0,0,0,0,14.235004
82.67,1550,4,0,0,0,1,1,0,0,0,0,0,NA
84.17,1500,2,0,0,0,0,1,0,0,0,0,0,13.794185
81.58,13,1,0,0,0,1,0,0,1,0,0,0,9.748917
79.92,1100,0,0,0,0,1,1,0,0,0,0,1,23.634501
82.5,1250,5,0,0,0,1,0,0,0,0,0,0,0.789275
80.17,1400,0,0,0,0,1,0,1,0,0,0,0,15.199999
83.42,1330,0,0,0,0,1,1,0,0,0,0,0,13.794185
83.83,1200,1,0,0,1,0,1,0,0,0,0,0,14.235004
82.5,1100,5,0,0,0,1,0,0,0,1,0,1,23.634501
85.83,464.5152,3,0,0,0,1,1,0,0,0,0,0,15.783471
83.17,1750,0,0,0,0,1,0,0,1,0,0,0,4.570868
82.92,1200,1,0,0,0,1,0,0,0,0,0,0,12.879721
81.67,1700,1,0,0,0,1,1,0,0,0,0,0,15.783471
81.5,1200,2,0,0,1,0,0,0,0,0,1,0,14.235004
81.17,1450,4,0,0,0,1,0,0,1,0,0,0,15.783471
89,2000,2,0,0,0,0,0,0,0,0,0,0,9.145
78.5,1400,14,0,0,0,1,0,0,0,1,0,1,23.634501
75.17,1100,8,0,0,0,1,0,0,0,0,0,1,23.634501
82.17,1000,4,0,0,0,1,0,0,0,1,0,1,23.634501
80.08,1300,18,0,0,0,1,0,0,0,1,0,1,23.634501
79.33,1200,3,0,0,0,1,0,0,1,0,0,0,4.570868
81,1450,6,0,0,0,1,1,0,0,0,0,0,13.794185
81,1350,1,0,0,0,0,0,0,1,0,0,0,15.199999
83.67,1250,3,0,0,0,1,0,0,1,0,0,0,12.865416
84.5,1700,0,0,0,0,1,0,0,1,0,0,0,9.748917
82.33,441,9,0,0,0,0,0,0,0,1,0,1,23.634501
84.17,1000,0,0,0,0,0,0,0,1,0,0,0,12.865416
82.5,800,0,0,0,0,1,0,0,0,0,0,0,15.870032
84.58,1750,2,0,0,0,1,0,0,1,0,0,0,4.570868
84.58,1750,5,0,0,0,1,0,0,1,0,0,0,4.570868
84.42,1200,0,0,0,0,1,0,0,0,1,0,1,23.69781
78,371.61216,3,0,0,0,1,0,0,0,0,0,0,15.783471
82.83,1250,4,0,0,0,1,0,0,0,0,0,0,13.794185
80.92,900,0,0,0,0,1,0,0,0,1,0,1,23.69781
82.92,1900,2,0,0,0,1,0,0,1,0,0,0,4.570868
83.83,1850,0,0,0,0,1,0,0,1,0,0,0,9.748917
78.67,1150,2,0,0,0,1,0,0,1,0,0,1,23.634501
84.83,350,0,0,0,0,0,0,0,0,1,0,1,23.69781
88.25,1822.5,4,0,0,0,0,0,0,0,0,0,0,9.145
83.17,1000,1,0,0,0,0,0,0,0,0,0,0,14.235004
72.92,1200,2,0,0,0,1,0,0,0,1,0,1,23.634501
82.42,1400,0,0,0,0,1,0,0,1,0,0,0,15.783471
80.08,150,0,0,0,0,1,0,0,0,1,0,1,23.69781
82.42,1750,2,0,0,0,1,0,0,1,0,0,0,4.570868
82.67,1500,0,0,0,0,1,0,0,1,0,0,0,15.870032
81.5,1250,5,0,0,0,1,1,0,0,0,0,1,23.634501
81.5,1100,3,0,0,0,0,0,0,0,1,0,1,23.634501
80.92,325.16064,5,1,0,0,0,0,0,0,0,0,0,NA
81.08,1456,2,0,0,0,1,0,0,0,0,0,0,NA
83,1800,0,0,0,0,1,0,0,0,0,0,0,1.373333
84,1450,0,0,0,0,0,0,0,1,0,0,0,4.570868
82.25,1100,0,0,0,0,0,1,0,0,0,0,0,14.235004
80.17,1550,3,0,0,0,1,0,0,0,1,0,1,23.634501
83.58,1775,3,0,0,0,1,0,0,1,0,0,0,4.570868
82.25,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
85.25,1550,2,0,0,0,0,0,0,1,0,0,0,4.570868
84,1650,0,0,0,0,1,0,0,0,0,0,0,0.023559
83,1500,1,0,0,0,1,1,0,0,0,0,0,15.783471
82.33,1550,0,0,0,0,1,0,1,0,0,0,0,9.748917
83.25,2100,7,0,0,0,1,0,0,0,0,0,0,15.783471
82.42,48.12377472,0,0,0,0,1,1,0,0,0,0,0,15.783471
81.5,180,2,0,0,0,0,0,0,0,1,0,1,23.69781
85.92,1800,1,0,0,0,1,0,0,1,0,0,0,4.570868
82.75,1442,0,0,0,0,1,0,0,0,0,0,0,13.254308
83.33,1200,2,0,0,0,1,0,0,1,0,0,1,23.634501
83.5,371.61216,5,0,0,0,1,1,0,0,0,0,0,15.783471
83,872,3,0,0,0,0,1,0,0,0,0,0,14.235004
81.83,700,0,0,0,0,1,0,0,0,1,0,1,23.69781
81,1100,0,0,0,1,0,0,0,0,1,0,1,23.69781
83.75,260.128512,1,0,0,0,1,0,0,0,0,0,0,NA
81.17,1300,3,0,0,0,1,0,1,0,0,0,0,9.748917
78.58,1300,1,0,0,0,1,0,0,0,1,0,1,23.634501
83,1000,0,0,0,0,0,0,1,0,0,0,0,14.235004
82.58,1450,1,0,0,0,1,0,0,1,0,0,0,15.870032
82.08,13,2,0,0,0,1,0,0,1,0,0,0,9.748917
81.83,1500,2,0,0,0,1,1,0,0,0,0,1,23.634501
81.17,1000,1,0,0,0,0,0,0,0,0,0,0,14.235004
82.08,1300,0,0,0,0,1,0,0,1,0,0,0,9.748917
83.42,442,2,0,0,0,1,0,0,1,0,0,0,4.570868
84.42,1300,3,0,0,0,1,0,0,1,0,0,0,9.748917
84.33,442,6,0,0,0,0,0,0,1,0,0,0,4.570868
81.83,1300,8,1,0,0,0,0,0,0,1,0,0,0.789275
85.33,1200,6,0,0,0,1,0,0,0,0,0,0,0.023559
74.92,1500,6,0,0,0,1,0,0,0,1,0,1,23.634501
81.42,1400,1,0,0,0,1,0,1,0,0,0,0,15.199999
75.17,1280,52,0,0,0,1,0,0,0,1,0,1,23.634501
71,1800,0,0,0,0,1,1,0,0,0,0,1,23.634501
78.42,1500,0,0,0,0,1,0,0,0,1,0,1,23.634501
81.5,1000,6,0,0,1,0,0,0,0,1,0,1,23.634501
82.33,510.96672,6,0,0,0,1,1,0,0,0,0,0,15.783471
84.83,1650,1,0,0,0,0,0,0,0,0,0,0,1.373333
80.08,1100,5,0,1,0,0,1,0,0,0,0,0,14.235004
84.08,1800,15,0,0,0,0,0,0,0,0,0,0,9.145
81.33,1800,17,0,0,0,1,0,0,0,1,0,1,23.634501
81.83,399.483072,1,0,0,0,1,1,0,0,0,0,0,15.783471
80.17,1187.5,2,0,0,0,1,0,0,1,0,0,0,12.865416
83.17,1650,3,0,0,0,1,1,0,0,0,0,0,15.783471
82,1900,1,0,0,0,1,0,0,1,0,0,0,4.570868
81.83,1556,0,0,0,0,1,0,0,0,0,0,0,13.254308
79.42,371.61216,2,0,0,0,1,1,0,0,0,0,0,15.783471
83.75,1750,1,0,0,0,1,0,0,1,0,0,0,4.570868
69.17,1450,3,0,0,0,1,0,1,0,0,0,0,15.199999
82.25,533,11,0,0,0,1,1,0,0,0,0,1,23.634501
82.25,1450,2,0,0,0,1,0,0,0,0,0,0,15.783471
80.25,700,0,0,0,1,0,0,0,0,1,0,1,23.69781
81.75,1650,1,0,0,0,1,0,0,0,1,0,1,23.634501
81.75,1100,1,0,0,0,1,0,0,0,1,0,1,23.634501
80,1250,5,0,0,0,1,0,0,1,0,0,0,12.865416
80.67,1500,0,0,0,0,1,1,0,0,0,0,0,15.783471
80.5,566.708544,2,0,0,0,1,1,0,0,0,0,0,15.783471
84.5,1750,1,0,0,0,1,0,0,0,0,0,0,1.373333
84.5,1500,4,0,0,0,1,0,0,0,1,0,1,23.634501
83,1775,2,0,0,0,1,0,0,1,0,0,0,4.570868
79.67,1250,12,0,0,0,1,1,0,0,0,0,0,13.794185
82.83,1754,3,0,0,0,1,0,0,0,0,0,0,0.023559
