"Total.Cup.Points","altitude_mean_meters_adj","total_defects","Processing.Method_Other","Processing.Method_Pulped natural / honey","Processing.Method_Semi-washed / Semi-pulped","Processing.Method_Washed / Wet","variety_adj_Bourbon","variety_adj_Catuai","variety_adj_Caturra","variety_adj_Typica","variety_adj_Yellow Bourbon","Non_Tropical"
83.92,900,42,0,0,0,1,0,0,0,1,0,1
82.92,1040,17,0,0,0,0,0,0,0,0,0,0
82.25,1180,0,0,0,0,1,0,0,0,0,0,0
82.25,1100,0,0,0,0,0,1,0,0,0,0,0
85,1900,2,0,0,0,1,0,1,0,0,0,0
83.25,175,1,0,0,0,1,0,0,1,0,0,0
82.67,1800,3,0,0,0,1,0,0,1,0,0,0
84.25,1620,7,0,0,0,1,0,0,0,0,0,0
84,1700,1,0,0,0,1,0,0,1,0,0,0
83,1200,3,0,0,0,1,0,1,0,0,0,0
82.25,900,3,0,0,0,1,0,0,0,1,0,1
83.33,1750,1,0,0,0,1,0,0,1,0,0,0
82.75,1500,2,0,0,0,1,0,0,0,0,0,1
71,1800,0,0,0,0,1,1,0,0,0,0,1
80.75,1200,2,0,0,0,1,0,0,0,1,0,1
81.17,1550,2,0,0,0,1,1,0,0,0,0,0
82,1600,1,0,0,0,1,0,0,1,0,0,0
82.75,48.12377472,0,0,0,0,1,1,0,0,0,0,0
82.08,1300,3,0,0,0,1,1,0,0,0,0,0
84.83,350,0,0,0,0,0,0,0,0,1,0,1
80.67,1350,1,0,0,1,0,0,0,0,0,0,0
81.5,371.61216,0,0,0,0,1,1,0,0,0,0,0
82.83,1500,4,0,0,0,1,1,0,0,0,0,0
82.08,1,1,0,0,0,0,0,0,0,0,1,0
83,894,5,0,0,0,0,1,0,0,0,0,0
84.33,1500,2,0,0,0,1,0,1,0,0,0,0
80.75,1680,5,1,0,0,0,0,0,1,0,0,0
81.58,399.483072,1,0,0,0,1,1,0,0,0,0,0
85.08,2560,0,0,0,0,0,0,0,1,0,0,0
82.83,1550,12,0,0,0,1,0,0,1,0,0,1
83.5,1400,0,0,0,0,1,0,0,1,0,0,0
75.17,1280,52,0,0,0,1,0,0,0,1,0,1
83.42,1700,3,0,0,0,1,1,0,0,0,0,0
83.42,1800,1,0,0,0,1,0,0,0,0,0,0
81.83,1250,10,0,0,1,0,0,0,0,1,0,1
84.25,442,3,0,0,0,0,0,0,1,0,0,0
81.67,1200,2,0,0,0,1,1,0,0,0,0,1
84.17,1700,2,0,0,0,1,0,0,1,0,0,0
82.92,350,31,0,0,0,0,0,0,1,0,0,1
79.33,1200,3,0,0,0,1,0,0,1,0,0,0
81.67,750,0,0,0,0,1,0,0,0,1,0,1
82.33,200,0,0,0,1,0,0,0,0,1,0,1
83,1500,2,0,0,0,1,1,0,0,0,0,0
83.17,399.483072,2,0,0,0,1,1,0,0,0,0,0
81.83,1550,0,0,0,0,1,0,0,0,1,0,1
79.83,1250,0,0,0,0,1,0,0,1,0,0,0
84,1650,0,0,0,0,1,0,0,0,0,0,0
82.75,1250,4,0,0,0,1,1,0,0,0,0,0
76,1350,7,0,0,0,0,0,0,0,0,0,0
81.75,1700,1,0,0,0,1,1,0,0,0,0,0
84.67,1750,0,0,0,0,1,0,0,1,0,0,0
81.83,1100,0,0,0,0,0,1,0,0,0,0,0
82.83,1775,3,0,0,0,1,0,0,1,0,0,0
84.25,2560,2,0,0,0,0,0,0,1,0,0,0
78.5,1400,14,0,0,0,1,0,0,0,1,0,1
82.75,1300,2,0,0,0,1,0,0,1,0,0,0
78.33,399.483072,5,0,0,0,1,1,0,0,0,0,0
79.25,1000,10,0,0,0,1,1,0,0,0,0,1
83.75,1750,3,0,0,0,1,0,0,1,0,0,0
84.25,1775,6,0,0,0,1,0,0,1,0,0,0
82.5,1775,4,0,0,0,1,0,0,1,0,0,0
82.42,1750,2,0,0,0,1,0,0,1,0,0,0
83.17,532,11,0,0,0,1,0,0,0,1,0,1
73.83,1250,19,0,0,0,1,0,0,0,1,0,1
83.67,1900,1,0,0,0,1,0,0,1,0,0,0
83.5,427.353984,15,0,0,0,1,1,0,0,0,0,0
83.42,1600,4,0,0,0,1,1,0,0,0,0,0
82.17,800,0,0,0,0,1,0,0,0,0,0,0
80.75,1450,1,0,0,0,0,0,1,0,0,0,0
82.33,399.483072,3,0,0,0,1,1,0,0,0,0,0
84.5,1680,1,0,0,0,1,0,0,0,0,0,1
82.75,1775,3,0,0,0,1,0,0,1,0,0,0
82.75,1700,4,0,0,0,1,1,0,0,0,0,0
80.92,900,0,0,0,0,1,0,0,0,1,0,1
84.17,1606.5,5,0,0,0,0,0,0,0,0,0,0
82.5,1100,5,0,0,0,1,0,0,0,1,0,1
81.58,1400,9,0,0,0,1,0,0,0,1,0,1
84.25,1400,1,0,0,0,0,0,0,0,0,0,1
82.67,934,3,0,0,0,0,1,0,0,0,0,0
79.17,1650,5,0,0,0,1,0,1,0,0,0,0
85.83,464.5152,3,0,0,0,1,1,0,0,0,0,0
86.92,1250,2,0,0,0,0,1,0,0,0,0,0
83.58,1000,0,1,0,0,0,0,0,0,1,0,1
84.08,1775,2,0,0,0,1,0,0,1,0,0,0
80.5,50,0,0,0,0,0,0,0,0,0,0,1
82.5,800,0,0,0,0,1,0,0,0,0,0,0
87.25,2019,0,0,0,0,1,0,0,0,0,0,1
81.67,1400,6,0,0,0,1,0,0,0,1,0,1
84,1600,9,0,0,0,1,0,0,0,0,0,0
83.33,1000,1,0,0,0,0,0,0,1,0,0,0
81.58,1100,0,0,0,0,1,0,0,0,0,0,0
81.58,13,1,0,0,0,1,0,0,1,0,0,0
82,2500,1,0,0,0,1,0,0,0,0,0,0
83.83,1300,4,0,0,0,0,0,0,0,0,0,1
81.67,371.61216,3,0,0,0,1,1,0,0,0,0,0
80.5,1450,1,0,0,0,1,0,0,0,1,0,1
86.33,1300,0,0,0,0,1,0,0,1,0,0,0
79.75,800,0,0,0,0,1,0,0,0,0,0,0
83.92,1300,5,0,0,0,1,0,0,0,0,0,1
76.42,1100,14,0,0,0,1,0,0,0,1,0,1
79.67,1400,6,0,0,0,1,0,0,0,1,0,1
82.33,1100,2,0,0,0,0,0,0,0,0,0,0
83.5,1400,0,0,0,0,1,0,0,0,0,0,1
83,1000,1,0,0,0,0,0,0,1,0,0,0
82.42,1600,0,0,0,0,1,0,0,0,0,0,1
88.83,2075,2,0,0,0,1,0,0,0,0,0,0
81.67,150,0,0,0,1,0,0,0,0,1,0,1
80.67,185,4,0,0,0,1,0,0,1,0,0,0
79.92,1250,0,0,0,0,1,0,0,0,0,0,1
83.67,399.483072,13,0,0,0,1,1,0,0,0,0,0
84.67,1200,3,0,0,0,1,0,0,0,1,0,1
82.42,1250,4,0,0,0,1,1,0,0,0,0,1
82.67,1300,0,0,0,0,1,0,0,0,0,0,0
82.42,1500,6,0,0,0,1,0,0,0,0,0,0
83.17,700,5,0,0,0,1,0,0,0,1,0,1
83.08,1300,3,0,0,0,1,0,1,0,0,0,0
81.33,1450,3,0,0,0,1,0,1,0,0,0,0
83,1000,0,0,0,0,0,0,1,0,0,0,0
85.83,1900,4,0,0,0,1,0,0,0,0,0,0
85.5,1600,1,0,0,0,1,0,0,0,0,0,0
85.5,1900,7,0,0,0,0,0,0,0,0,0,0
83.42,439,1,0,0,0,1,0,0,1,0,0,0
81.92,1877,4,0,0,0,1,0,0,0,0,0,0
83.42,1813,1,0,0,0,1,0,0,1,0,0,0
80.25,1600,2,0,0,0,1,0,0,1,0,0,1
82.5,1679,10,0,0,0,1,0,0,0,1,0,1
82.5,1450,0,0,0,0,1,0,0,1,0,0,0
83.92,1550,3,0,0,0,0,0,0,1,0,0,0
84.92,1775,3,0,0,0,1,0,0,1,0,0,0
81.17,995,12,0,0,0,1,0,0,1,0,0,0
82.67,1550,4,0,0,0,1,1,0,0,0,0,0
69.17,1450,3,0,0,0,1,0,1,0,0,0,0
82.33,1750,1,0,0,0,1,0,0,1,0,0,0
79.75,1050,23,0,0,0,1,0,0,0,1,0,1
83.83,1218,2,0,0,0,0,1,0,0,0,0,1
83.83,1300,3,0,0,0,1,0,1,0,0,0,0
81.75,1250,23,0,0,0,1,0,0,0,0,0,1
83,1800,0,0,0,0,1,0,0,0,0,0,0
84.17,399.483072,4,0,0,0,1,1,0,0,0,0,0
84.17,340.39673856,6,0,0,0,1,0,0,1,0,0,0
80.25,278.70912,27,0,0,0,0,0,0,0,0,0,0
79.33,750,19,0,0,0,1,0,0,0,1,0,1
81.42,1100,2,0,0,0,0,0,1,0,0,0,0
81.83,700,0,0,0,0,1,0,0,0,1,0,1
84.25,1800,0,0,0,0,1,0,0,0,0,0,0
82.42,2285,7,0,0,0,1,0,0,0,0,0,0
83.25,1900,0,0,1,0,0,0,1,0,0,0,0
82.83,1040,11,1,0,0,0,0,0,0,0,0,0
81,758,0,0,0,0,1,0,0,0,1,0,1
82.75,1800,8,0,0,0,1,0,0,1,0,0,0
84.75,1450,4,0,0,0,1,0,1,0,0,0,0
82.17,800,0,0,0,0,1,0,0,0,1,0,1
82.33,1300,0,0,0,0,1,0,0,0,1,0,1
83.17,1350,0,0,0,0,1,1,0,0,0,0,0
81.08,1500,0,0,0,0,1,0,0,1,0,0,0
81.5,1150,2,0,0,0,1,0,0,0,1,0,1
82.67,1500,0,0,0,0,1,0,0,1,0,0,0
79.42,800,30,0,0,0,1,0,0,0,1,0,1
59.83,431.999136,4,0,0,0,1,0,1,0,0,0,0
79.5,1550,21,0,0,0,1,0,0,1,0,0,1
80.92,300,0,0,0,0,1,0,0,0,1,0,1
83.25,1300,6,0,0,0,1,1,0,0,0,0,1
81.83,1350,4,0,0,0,0,0,0,1,0,0,0
83.83,1750,1,0,0,0,1,0,0,1,0,0,0
79.75,1100,7,0,0,0,1,0,0,0,1,0,1
69.17,1450,4,0,0,0,1,0,1,0,0,0,0
79.08,1200,0,0,0,0,1,0,0,0,1,0,1
80.92,1050,4,0,0,0,1,0,0,1,0,0,0
82.5,399.483072,4,0,0,0,1,1,0,0,0,0,0
82.08,894,3,0,0,0,0,1,0,0,0,0,0
82.75,1850,1,0,0,0,1,0,0,1,0,0,0
78,371.61216,3,0,0,0,1,0,0,0,0,0,0
81.17,1000,1,0,0,0,0,0,0,0,0,0,0
83.17,1901,1,0,0,0,1,1,0,0,0,0,0
82.42,1775,9,0,0,0,1,0,0,1,0,0,0
81.75,1040,0,0,0,0,1,0,0,1,0,0,0
78.42,1500,0,0,0,0,1,0,0,0,1,0,1
83.5,1350,3,0,0,0,0,0,0,1,0,0,0
82.42,1,0,0,0,0,0,0,0,0,0,1,0
82.33,1100,0,0,0,0,0,1,0,0,0,0,0
79.5,1100,5,0,0,0,1,0,0,0,1,0,1
84.92,1200,0,0,0,1,0,0,0,0,1,0,1
79.58,1550,5,0,0,0,1,0,0,1,0,0,1
86.42,1300,2,0,0,0,0,1,0,0,0,0,0
86.08,1000,0,0,0,1,0,1,0,0,0,0,1
83.17,1653,6,0,0,0,1,0,0,0,0,0,0
84.67,1900,3,0,0,0,1,0,0,0,0,0,0
82.33,442,0,0,0,0,0,0,0,1,0,0,0
67.92,350,24,0,0,0,0,0,0,0,1,0,0
79.67,800,0,0,0,0,1,0,0,0,0,0,0
82,1900,1,0,0,0,1,0,0,1,0,0,0
78.33,1300,78,0,0,0,0,0,0,0,1,0,1
83,1550,3,0,0,0,1,0,1,0,0,0,0
87.08,2112,0,0,0,0,1,0,0,0,0,0,1
84.58,1750,2,0,0,0,1,0,0,1,0,0,0
77.33,890,3,0,0,0,0,1,0,0,0,0,0
79.42,371.61216,2,0,0,0,1,1,0,0,0,0,0
77,1200,16,0,0,0,1,0,0,1,0,0,0
80,800,0,0,0,0,1,0,0,0,0,0,0
83.92,1200,3,0,0,0,1,0,0,0,1,0,1
79.08,1500,2,0,0,0,1,0,0,0,1,0,1
83,418.06368,2,0,0,0,1,0,1,0,0,0,0
82.42,1150,0,0,0,0,1,0,0,1,0,0,1
82,427.353984,10,0,0,0,1,1,0,0,0,0,0
78,650,7,0,0,0,1,0,0,0,0,1,1
80.08,1300,0,0,0,0,1,0,0,0,1,0,1
84.75,1800,0,0,0,0,1,0,0,0,0,0,0
84.08,1800,15,0,0,0,0,0,0,0,0,0,0
85.58,1350,0,0,0,1,0,1,0,0,0,0,0
84.17,1600,1,0,0,0,1,0,0,0,0,0,0
81.17,1200,10,0,0,0,1,0,0,1,0,0,1
81.17,1450,4,0,0,0,1,0,0,1,0,0,0
85.5,527.6892672,1,0,0,0,1,1,0,0,0,0,0
82.17,1650,7,0,0,0,1,1,0,0,0,0,0
80,1400,2,0,0,0,1,0,0,0,1,0,1
75,850,22,0,0,0,1,0,0,0,1,0,1
83.17,1775,4,0,0,0,1,0,0,1,0,0,0
84.83,1650,1,0,0,0,0,0,0,0,0,0,0
78.67,1150,2,0,0,0,1,0,0,1,0,0,1
81.25,650,0,0,0,1,0,0,0,0,1,0,1
81.08,1642,5,0,0,0,1,0,0,0,1,0,1
78.58,1400,1,0,0,0,1,0,0,0,1,0,1
82.42,1296,0,0,0,0,1,0,0,0,1,0,1
82.42,1170,1,0,0,0,1,0,0,1,0,0,1
83.25,1500,1,0,0,0,1,0,0,1,0,0,0
82.67,1650,0,0,0,0,1,0,0,0,0,0,0
82.67,1200,7,0,0,0,1,0,0,0,0,0,0
85.33,1300,0,0,0,0,1,0,0,1,0,0,0
82.5,1600,1,0,0,0,1,0,0,0,0,0,1
83.83,1676.5,4,0,0,0,0,0,0,0,0,0,0
81.33,1100,14,0,0,0,0,0,1,0,0,0,0
80.83,1200,1,0,0,0,1,0,0,1,0,0,0
83.25,442,2,0,0,0,0,0,0,1,0,0,0
82.83,1600,1,0,0,0,1,0,0,0,0,0,0
79.17,1450,34,0,0,0,1,0,0,0,1,0,1
83.33,1700,6,0,0,1,0,0,0,0,0,0,0
81.5,1599,0,0,0,0,1,0,0,0,0,0,0
82.92,1500,1,0,0,0,1,0,0,1,0,0,0
83.67,934,3,0,0,0,0,1,0,0,0,0,0
80,1250,5,0,0,0,1,0,0,1,0,0,0
78.58,800,0,0,0,0,1,0,0,0,1,0,1
81.17,1800,10,0,0,0,0,0,0,0,1,0,1
84.17,1500,2,0,0,0,0,1,0,0,0,0,0
82.25,423.91657152,2,0,0,0,1,1,0,0,0,0,0
81.17,1300,0,0,0,0,1,0,0,1,0,0,0
80.17,1187.5,2,0,0,0,1,0,0,1,0,0,0
75.5,1100,24,0,0,0,1,0,0,0,0,0,1
83.92,890,3,0,0,0,0,1,0,0,0,0,0
82.5,399.483072,0,0,0,0,1,1,0,0,0,0,0
82.92,1650,0,0,0,0,1,0,0,0,0,0,0
81.92,1300,6,0,0,0,1,1,0,0,0,0,1
82.58,1250,6,0,0,1,0,0,0,0,1,0,0
81,800,3,0,0,0,1,0,0,0,0,0,0
82.58,1317,1,0,0,0,1,0,0,0,0,0,0
83.17,1000,1,0,0,0,0,0,0,0,0,0,0
81.5,1200,2,0,0,1,0,0,0,0,0,1,0
80.25,808,10,0,0,0,1,0,0,1,0,0,1
83,1550,0,1,0,0,0,0,0,1,0,0,0
80.33,399.483072,5,0,0,0,1,1,0,0,0,0,0
76.17,1400,6,0,0,0,1,0,0,0,1,0,1
80.42,600,0,0,0,0,1,0,0,0,1,0,1
81.83,1250,0,0,0,1,0,1,0,0,0,0,0
82.83,1800,8,0,0,0,0,0,0,0,1,0,0
87.17,1300,2,0,0,0,1,0,0,1,0,0,0
84.08,968,4,0,0,0,1,0,0,0,1,0,1
83.25,1261,2,0,0,0,0,0,0,0,1,0,1
83.75,750,0,0,0,0,0,0,0,0,1,0,1
84.67,464.5152,4,0,0,0,1,1,0,0,0,0,0
81.92,1250,2,0,0,0,1,1,0,0,0,0,0
78,1350,8,0,0,0,0,0,0,0,0,0,0
82.17,1200,0,1,0,0,0,0,0,0,1,0,1
84.08,1550,10,0,0,0,1,1,0,0,0,0,0
85,1100,3,0,0,0,0,0,0,0,0,0,0
81,950,12,0,0,0,1,0,0,0,0,0,1
83.33,1650,1,0,0,0,1,0,0,1,0,0,0
78.33,371.61216,2,0,0,0,1,0,0,0,0,0,0
83.58,1850,7,0,0,0,1,0,0,0,0,0,0
83.83,1260,0,0,0,0,0,0,0,0,0,1,0
82.17,1350,2,0,0,0,1,0,1,0,0,0,0
80.17,399.483072,2,0,0,0,1,1,0,0,0,0,0
80.25,1400,13,0,0,0,1,0,0,1,0,0,0
82.42,1300,0,0,0,0,1,0,0,0,1,0,1
82.67,1200,0,0,0,0,1,0,0,0,1,0,1
77.33,1500,9,0,0,0,1,0,0,0,1,0,1
80.83,1300,0,0,0,0,1,0,0,0,0,0,0
82.83,1200,9,1,0,0,0,0,0,0,0,0,1
83.17,1500,5,0,0,0,1,0,0,1,0,0,0
82.75,1625,0,0,0,0,1,0,0,1,0,0,0
84.17,1400,0,0,0,0,1,0,0,0,0,0,0
83.33,1880,5,0,0,0,1,1,0,0,0,0,0
83.58,1000,2,0,0,0,1,0,0,0,1,0,1
82.42,1700,0,0,0,0,1,1,0,0,0,0,0
79.67,1250,12,0,0,0,1,1,0,0,0,0,0
83.17,1089,10,0,0,0,1,0,0,0,0,0,1
80.5,1250,10,0,0,1,0,0,0,0,0,1,0
82,1350,3,0,0,0,1,0,0,0,0,0,0
80.42,1050,6,0,0,0,1,0,0,0,1,0,1
79.67,1264,9,0,0,0,1,0,0,0,0,0,1
82.33,1170,9,0,0,0,1,1,0,0,0,0,1
83.5,1000,0,0,0,0,0,0,0,1,0,0,0
82,1038.5,0,0,0,0,0,0,0,0,0,0,0
80.25,700,0,0,0,1,0,0,0,0,1,0,1
84.67,1750,1,1,0,0,0,0,0,0,0,0,0
87.17,1320,0,0,0,0,1,0,0,0,0,0,1
84.58,1100,1,0,0,1,0,0,1,0,0,0,0
83.08,1300,0,1,0,0,0,0,0,0,1,0,1
82.58,1775,4,0,0,0,1,0,0,1,0,0,0
82.83,1754,3,0,0,0,1,0,0,0,0,0,0
83.67,800,0,0,0,0,1,0,0,0,0,0,0
81.33,1800,17,0,0,0,1,0,0,0,1,0,1
84.33,442,6,0,0,0,0,0,0,1,0,0,0
82.08,1800,16,0,0,0,1,0,0,0,1,0,1
79.5,1550,2,0,0,0,1,0,0,1,0,0,0
81.5,1100,3,1,0,0,0,0,0,1,0,0,0
80.17,1550,2,1,0,0,0,0,0,0,0,0,0
74.33,1140,14,0,0,0,1,0,0,0,1,0,1
84,1700,36,0,0,0,1,0,0,0,0,0,0
82.83,399.483072,10,0,0,0,1,1,0,0,0,0,0
84.92,1000,2,0,0,0,0,0,1,0,0,0,0
84.25,371.61216,1,1,0,0,0,1,0,0,0,0,0
83.5,1775,0,0,0,0,1,0,0,1,0,0,0
79.92,1300,4,0,0,0,1,1,0,0,0,0,1
81.58,800,0,0,0,0,1,0,0,0,1,0,1
81.67,940,4,0,0,1,0,0,0,1,0,0,1
79.83,1300,3,0,0,0,1,0,0,0,1,0,1
86.25,1775,3,0,0,0,0,0,0,0,0,0,0
82.92,775,9,0,0,0,0,0,0,0,1,0,1
78,399.483072,12,0,0,0,1,1,0,0,0,0,0
86.83,1950,1,0,0,0,1,0,0,0,0,0,0
82.5,890,4,0,0,0,0,1,0,0,0,0,0
84,520.257024,7,0,0,0,1,0,0,1,0,0,0
82.33,600,0,0,0,0,1,0,0,0,1,0,1
83.75,442,1,0,0,0,1,0,0,1,0,0,0
83.33,390.192768,4,0,0,0,1,0,0,0,1,0,0
80.92,325.16064,5,1,0,0,0,0,0,0,0,0,0
84.5,1350,0,0,0,0,1,0,0,0,1,0,1
79.67,371.61216,1,0,0,0,1,1,0,0,0,0,0
86.08,1754,2,0,0,0,0,0,0,0,0,0,0
79,1550,20,0,0,1,0,0,0,0,1,0,1
82.25,1100,0,0,0,0,1,0,0,0,1,0,1
85,1300,3,0,0,0,1,0,0,0,1,0,1
81.42,1550,6,0,0,0,1,1,0,0,0,0,0
68.33,900,20,0,0,0,1,1,0,0,0,0,1
81.92,690,10,0,0,0,1,0,0,0,0,0,1
82,1050,1,0,0,1,0,0,1,0,0,0,0
80.83,100,1,0,0,0,1,1,0,0,0,0,1
82.33,1268,0,0,0,0,0,1,0,0,0,0,0
82.08,1300,0,0,0,0,1,0,0,1,0,0,0
83.17,950,4,0,0,0,0,0,0,0,0,0,0
82.58,1150,0,0,0,0,1,0,0,0,1,0,1
